date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:33	22440/22440	---MCZ	200	added ('OK')	text/html	etag:W/%2258e5f806-57a8%22	http://kvest.kwst.net/site/blog.html	c:/temp/pfsem2/sem/kvest.kwst.net/site/blog.html	(from http://kvest.kwst.net/site/index.html)
00:46:59	159423/159423	---M--	200	added ('OK')	image/jpeg	etag:%2258c6883a-26ebf%22	http://kvest.kwst.net/site/images/bg/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/1.jpg	(from http://kvest.kwst.net/site/index.html)
00:47:06	84347/84347	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255e95378-1497b%22	http://kvest.kwst.net/site/js/jquery.min.js	c:/temp/pfsem2/sem/kvest.kwst.net/site/js/jquery.min.js	(from http://kvest.kwst.net/site/index.html)
00:47:11	236311/236311	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fca2-39b17%22	http://kvest.kwst.net/site/images/bg/10.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/10.jpg	(from http://kvest.kwst.net/site/index.html)
00:47:14	19871/19871	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ac89762-4d9f%22	http://kvest.kwst.net/site/js/scripts.js	c:/temp/pfsem2/sem/kvest.kwst.net/site/js/scripts.js	(from http://kvest.kwst.net/site/index.html)
00:47:17	192716/192716	---MCZ	200	added ('OK')	application/javascript	etag:W/%225caefb31-2f0cc%22	http://kvest.kwst.net/site/js/plugins.js	c:/temp/pfsem2/sem/kvest.kwst.net/site/js/plugins.js	(from http://kvest.kwst.net/site/index.html)
00:47:21	317538/317538	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fc8a-4d862%22	http://kvest.kwst.net/site/images/bg/12.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/12.jpg	(from http://kvest.kwst.net/site/index.html)
00:47:35	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22581afe74-12d68%22	http://kvest.kwst.net/site/fonts/fontawesome-webfont.woff2?v=4.7.0	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/fontawesome-webfont3e6e.woff2	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:40	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22581afe74-2876e%22	http://kvest.kwst.net/site/fonts/fontawesome-webfont.eot?v=4.7.0	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/fontawesome-webfont3e6e.eot	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22581afe74-2876e%22	http://kvest.kwst.net/site/fonts/fontawesome-webfont.eot?	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/fontawesome-webfontd41d.eot	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:54	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22581afe74-6c7db%22	http://kvest.kwst.net/site/fonts/fontawesome-webfont.svg?v=4.7.0	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/fontawesome-webfont3e6e.svg	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:54	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22581afe74-17ee8%22	http://kvest.kwst.net/site/fonts/fontawesome-webfont.woff?v=4.7.0	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/fontawesome-webfont3e6e.woff	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:54	522158/522158	---M--	200	added ('OK')	image/jpeg	etag:%2258d93e62-7f7ae%22	http://kvest.kwst.net/site/images/bg/7.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/7.jpg	(from http://kvest.kwst.net/site/index.html)
00:47:55	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2017%20Nov%202019%2023:49:30%20GMT	http://kvest.kwst.net/site/css/owl.video.play.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/css/owl.video.play.png	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:55	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://kvest.kwst.net/site/fonts/lg.eot?n1z373	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/lgd641.eot	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:55	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://kvest.kwst.net/site/fonts/lg.eot?	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/lgd41d.eot	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:56	2692/2692	---M--	200	added ('OK')	font/woff	etag:%225695b55c-a84%22	http://kvest.kwst.net/site/fonts/lg.woff?n1z373	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/lgd641.woff	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:56	2616/2616	---M--	200	added ('OK')	application/octet-stream	etag:%225695b55c-a38%22	http://kvest.kwst.net/site/fonts/lg.ttf?n1z373	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/lgd641.ttf	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:56	4094/4094	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225695b55c-ffe%22	http://kvest.kwst.net/site/fonts/lg.svg?n1z373	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/lgd641.svg	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:56	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2017%20Nov%202019%2023:49:32%20GMT	http://kvest.kwst.net/site/img/vimeo-play.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/img/vimeo-play.png	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:57	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2017%20Nov%202019%2023:49:32%20GMT	http://kvest.kwst.net/site/img/video-play.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/img/video-play.png	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:57	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2017%20Nov%202019%2023:49:33%20GMT	http://kvest.kwst.net/site/img/youtube-play.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/img/youtube-play.png	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:57	934/934	---M--	200	added ('OK')	image/png	etag:%2258c697fe-3a6%22	http://kvest.kwst.net/site/images/pattern.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/pattern.png	(from http://kvest.kwst.net/site/css/style.css)
00:47:58	6277/6277	---M--	200	added ('OK')	image/gif	etag:%2258e5ff19-1885%22	http://kvest.kwst.net/site/images/loading.gif	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/loading.gif	(from http://kvest.kwst.net/site/css/plugins.css)
00:47:58	937/937	---M--	200	added ('OK')	image/png	etag:%2258c6d890-3a9%22	http://kvest.kwst.net/site/images/pattern2.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/pattern2.png	(from http://kvest.kwst.net/site/css/style.css)
00:48:06	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22581afe74-286ac%22	http://kvest.kwst.net/site/fonts/fontawesome-webfont.ttf?v=4.7.0	c:/temp/pfsem2/sem/kvest.kwst.net/site/fonts/fontawesome-webfont3e6e.ttf	(from http://kvest.kwst.net/site/css/plugins.css)
00:48:19	129660/129660	---M--	200	added ('OK')	image/jpeg	etag:%2258c1481c-1fa7c%22	http://kvest.kwst.net/site/images/bg/3.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/3.jpg	(from http://kvest.kwst.net/site/index2.html)
00:48:22	150798/150798	---M--	200	added ('OK')	image/jpeg	etag:%2258da2286-24d0e%22	http://kvest.kwst.net/site/images/bg/9.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/9.jpg	(from http://kvest.kwst.net/site/index2.html)
00:48:30	197851/197851	---M--	200	added ('OK')	image/jpeg	etag:%2258e5f85e-304db%22	http://kvest.kwst.net/site/images/bg/4.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/4.jpg	(from http://kvest.kwst.net/site/index2.html)
00:48:45	163416/163416	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fce8-27e58%22	http://kvest.kwst.net/site/images/bg/long/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/long/1.jpg	(from http://kvest.kwst.net/site/index3.html)
00:49:04	210184/210184	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fcc8-33508%22	http://kvest.kwst.net/site/images/bg/long/3.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/long/3.jpg	(from http://kvest.kwst.net/site/index3.html)
00:49:06	274486/274486	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fcbe-43036%22	http://kvest.kwst.net/site/images/bg/long/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/long/2.jpg	(from http://kvest.kwst.net/site/index3.html)
00:49:11	408358/408358	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fcae-63b26%22	http://kvest.kwst.net/site/images/bg/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/2.jpg	(from http://kvest.kwst.net/site/index2.html)
00:49:23	117348/117348	---M--	200	added ('OK')	image/jpeg	etag:%2258c6e436-1ca64%22	http://kvest.kwst.net/site/images/about2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/about2.jpg	(from http://kvest.kwst.net/site/about.html)
00:49:29	272878/272878	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fcda-429ee%22	http://kvest.kwst.net/site/images/bg/long/6.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/long/6.jpg	(from http://kvest.kwst.net/site/index3.html)
